store_id,product_id
ST1,1
ST1,2
ST1,3
ST1,4
ST1,5
ST1,6
ST1,7
ST1,8
ST1,9
ST1,10
ST1,11
ST1,12
ST1,13
ST1,14
ST1,15
ST1,16
ST1,17
ST1,18
ST1,19
ST1,20
ST1,21
ST1,22
ST1,23
ST1,24
ST1,25
ST1,26
ST1,27
ST1,28
ST1,29
ST1,30
ST1,31
ST1,32
ST1,33
ST1,34
ST1,35
ST1,36
ST1,37
ST1,38
ST1,39
ST1,40
ST1,41
ST1,42
ST1,43
ST1,44
ST1,45
ST1,46
ST1,47
ST1,48
ST1,49
ST1,50
ST1,51
ST1,52
ST1,53
ST1,54
ST1,55
ST1,56
ST1,57
ST1,58
ST1,59
ST1,60
ST1,61
ST1,63
ST1,64
ST1,65
ST1,69
ST1,70
ST1,71
ST1,72
ST1,73
ST1,74
ST1,75
ST1,76
ST1,77
ST1,78
ST1,79
ST1,81
ST1,82
ST1,83
ST1,84
ST2,1
ST2,2
ST2,3
ST2,4
ST2,5
ST2,6
ST2,7
ST2,8
ST2,9
ST2,10
ST2,11
ST2,12
ST2,13
ST2,14
ST2,15
ST2,16
ST2,17
ST2,18
ST2,19
ST2,20
ST2,21
ST2,22
ST2,23
ST2,24
ST2,25
ST2,26
ST2,27
ST2,28
ST2,29
ST2,30
ST2,31
ST2,32
ST2,33
ST2,34
ST2,35
ST2,36
ST2,37
ST2,38
ST2,39
ST2,40
ST2,41
ST2,42
ST2,43
ST2,44
ST2,45
ST2,46
ST2,47
ST2,48
ST2,49
ST2,50
ST2,51
ST2,52
ST2,53
ST2,54
ST2,55
ST2,56
ST2,57
ST2,58
ST2,59
ST2,60
ST2,61
ST2,63
ST2,64
ST2,65
ST2,69
ST2,70
ST2,71
ST2,72
ST2,73
ST2,74
ST2,75
ST2,76
ST2,77
ST2,78
ST2,79
ST2,81
ST2,82
ST2,83
ST2,84
ST2,87
ST3,1
ST3,2
ST3,3
ST3,4
ST3,5
ST3,6
ST3,7
ST3,8
ST3,9
ST3,10
ST3,11
ST3,12
ST3,13
ST3,14
ST3,15
ST3,16
ST3,17
ST3,18
ST3,19
ST3,20
ST3,21
ST3,22
ST3,23
ST3,24
ST3,25
ST3,26
ST3,27
ST3,28
ST3,29
ST3,30
ST3,31
ST3,32
ST3,33
ST3,34
ST3,35
ST3,36
ST3,37
ST3,38
ST3,39
ST3,40
ST3,41
ST3,42
ST3,43
ST3,44
ST3,45
ST3,46
ST3,47
ST3,48
ST3,49
ST3,50
ST3,51
ST3,52
ST3,53
ST3,54
ST3,55
ST3,56
ST3,57
ST3,58
ST3,59
ST3,60
ST3,61
ST3,63
ST3,64
ST3,65
ST3,69
ST3,70
ST3,71
ST3,72
ST3,73
ST3,74
ST3,75
ST3,76
ST3,77
ST3,78
ST3,79
ST3,81
ST3,82
ST3,83
ST3,84
ST3,87
